Customer_ID,Transaction_Date,Brand_Name,Sector,Gender,Date_of_Birth,Country,No_of_Scans,Amount_Spent
68844730,2022-01-02,Festina Group,Jewellery & Watches,,,ES,1,241.8
57088234,2022-01-02,Skechers,Shoes,F,1971-12-14,ES,1,76.48
50612353,2022-01-02,North Sails,Men's Apparel,M,1978-07-04,ES,1,24.5
36233318,2022-01-02,Converse,Shoes,,,ES,1,75.0
36256323,2022-01-02,Clarks,Shoes,F,1983-11-17,ES,1,21.25
60744035,2022-01-02,Zwilling,Home & Living,,,ES,1,4.5
44585560,2022-01-02,Skechers,Shoes,,,BO,1,54.99
67118167,2022-01-02,Primor,Beauty,M,1975-10-08,ES,1,48.36
68841661,2022-01-02,Levi’s,Denim,,,ES,1,84.0
36650312,2022-01-02,Clarks,Shoes,,,ES,1,54.08
34447900,2022-01-02,Converse,Shoes,F,1982-05-15,ES,1,59.91
55514936,2022-01-02,Calvin Klein,Premium,,,ES,1,39.5
68844730,2022-01-02,Jack&Jones,Men's Apparel,,,ES,2,164.98
64095184,2022-01-02,Vans,Shoes,M,1975-03-20,ES,1,40.0
39764557,2022-01-02,Asics,Sports,F,1979-09-23,ES,1,38.0
51028866,2022-01-02,Nike,Sports,,,ES,1,32.88
55226327,2022-01-02,Calvin Klein,Premium,F,1965-01-03,ES,1,23.25
49684224,2022-01-02,Under Armour,Sports,F,1973-02-23,ES,1,14.08
64017290,2022-01-02,Vans,Shoes,,,ES,1,375.5
55457793,2022-01-02,Nike,Sports,,,ES,1,93.97
63867346,2022-01-02,Skechers,Shoes,,,ES,2,174.66
68848899,2022-01-02,Nike,Sports,F,1992-06-11,ES,1,82.98
62283528,2022-01-02,Zwilling,Home & Living,,,ES,1,132.4
35018854,2022-01-02,Vans,Shoes,F,1981-06-03,ES,1,50.74
48286422,2022-01-02,Vans,Shoes,F,1980-03-15,,1,12.5
65806817,2022-01-02,Puma,Sports,,,ES,1,112.5
41268475,2022-01-02,Superdry,Unisex Apparel,M,1979-09-14,ES,1,55.86
67118167,2022-01-02,Festina Group,Jewellery & Watches,M,1975-10-08,ES,1,41.08
63084640,2022-01-02,Nike,Sports,,,ES,1,41.99
65814373,2022-01-02,Primor,Beauty,,,ES,1,5.02
36649945,2022-01-02,Primor,Beauty,,,ES,1,2.0
41173476,2022-01-02,Nike,Sports,F,2002-04-06,ES,1,77.98
42119051,2022-01-02,Puma,Sports,F,1973-04-18,ES,1,40.0
61773562,2022-01-02,Primor,Beauty,F,1960-02-13,ES,1,44.96
47535257,2022-01-02,Tommy Hilfiger,Premium,F,1977-04-02,ES,1,78.0
64163101,2022-01-02,Converse,Shoes,,,ES,1,30.0
39696794,2022-01-02,Levi’s,Denim,F,1997-08-11,ES,1,36.0
65637219,2022-01-03,Primor,Beauty,F,1993-07-30,ES,1,5.64
33746066,2022-01-03,ZZZ [NO LONGER IN CENTRE] Brooks Brothers,Unisex Apparel,,,ES,1,204.5
